Completion Note,Description,Category,WO#
Technician arrived on site and was informed close door error would occasionally show up. Technician found that the door switches were misaligned. Technician realigned switches then ran a function and cook test. Unit performed properly and is working.,Does not close. Says door open after closing,Door Issue,ST6360045
"208v

8.00 amps each circuit 
17.00 amps mags combined 

10.00 amps heater 

Unit display issue 

Upon inspecting unit found that the screws that hold up the display came loose. 

Remounted screws. 

Tested unit all test passed at 0 faults","Screen pushing backwards, hard to tap/ select",Menu Issue,ST25053024
"LeftE2S 

Faults
0

Volts
208

Amps
R-8.4
L-8.4

Heater Amps 
11

Checked EC, loose door handle 

Realigned door handle and tightened screws, tested unit all tests passed with zero faults 

Jesus",Handle is broken from right side. Need to push handle down to close oven.,Broken Door Handle,ST25053028
"Mod:Jesus
Brand:Left Merrychef 
Sn#2203213090541
Main power:208
Heater Amps:10.5
Mag Amps:8,8

Notes:
Touchscreen calibration","Screen isn't calibrated, so we've been needing to press off center in order to make the selection that we want. We can't press the back button because of the misalignment.",Display Issue,ST25053030
"LeftE2S

Faults
0

Volts
208

Amps
R-8.3
L-8.2

Heater Amps
10.9

Checked EC , constant Key Press 

Restarted unit and calibrated screen, tested unit all tests passed with zero faults 

MOD","Constant key press detected, screen needs to be replaced",Constant Key Press,ST25053032
"Right MerryChef 

208V

Faults constant key press 

Amps-17.0
Left Circuit-8.4
Right Circuit-8.6
Heaters-11.0

Checked EC, test unit, all test pass without faults.
Stirrer working properly
Air filter cleaned and positioned properly

Constant key press detected 
Showed Kate SS how to resolve error by unplugging unit from outlet for 10’seconds then plugging back in to give oven a hard reset. 
Calibrated units display
All test passed without any faults
Kate",Constant key press error,Constant Key Press,ST25053035
"Help


Advice store to trouble shoot, oven is now working","Help Advice store to trouble shoot, oven is now working",Constant Key Press,ST49081020
"*advised store to unplug the oven and plug it back in. Oven is working fine now.
","*advised store to unplug the oven and plug it back in. Oven is working fine now. Will not mov away from this display, cannot use ovens.",Constant Key Press,ST49081022
"ISSUE REPORTED: Some Breakfast sandwiches are not cooking all the way and both are not connected to the wifi and not getting recipe updates.

PROBLEMS FOUND: oven doesn’t have update holiday menu.

RESOLUTION: applied and install new holiday menu via usb. Ran cook test cycle oven works to manufacture specs.",Some Breakfast sandwiches are not cooking all the way and both are not connected to the wifi and not getting recipe updates.,Food Not Cooking Properly,ST851011
THIS CALL HAS BEEN COMPLETED FOUND THAT UNIT HAD BAD SRB BOARD REPLACED UNIT FULLY OPERATIONAL SERIAL MATCHED CALL COMPLETED FRIDAY 1/13/23 @ 9:00AM EST,New Merry Chef Oven. No power. Cant find reset button? Not the breaker because everything else is still running. On/off switch not working. Plugged/unplugged not working.,No Power,ST3467003
THIS WAS COMPLETED MONDAY 2/27 AT 12:00 PM SERIAL MATCHED UNIT REQUIRED A FIRM WARE UPDATE UNIT FULLY OPERATIONAL,The right oven display will flash to a white screen that says WELBILT with blue text that says BTSBoot V 1.0.4 Check pm firmware Check flash firmware This happens randomly and repeatedly interrupting cook times. It started happening on fri of last week. We are open mon - fri 5.30am- 4.30pm,Display Issue,ST3467004
JOB COMPLETED @10:24AM ON 3/3/23. TECH FOUND UNIT HAD A BAD SRB BOARD. REPLACED AND UNIT IS FULLY OPERATIONAL. SERIAL #: 2209213090651. SERIAL VERIFICATION BELOW,Oven shuts off as soon as we turn it on to cook food. Display will flash WELBILT in blue text then turn off and stop cooking the item. We are unable to use the oven at all leaving us with only 1 operating oven.,Shuts Off,ST3467005
"Parts ordered were installed and unit operational 
4/27 @ 1pm",Right oven was calibrating then the screen went white and it has not been operable since. We are open mon-fri 6-4.30,Display Issue,ST3467006
CALL COMPLETED 8-29 8:30 AM TECH UPDATED MENU VIA USB,Merrychef E2S Ovens - All Issues KB0012272 randi (sm) called because her stores oven are not updating. both ovens are missing guardian modules and one of them has chords that just arent connected to anything and they dont know where to plug them. (qr: 7290365520) store hours: 530am-5pm,Menu Issue,ST3467007
"CALL COMPLETED 3-5@10:30AM TECH REPLACED COOK PLATE AND STUDS
","Some of the pegs inside the oven are flattening out on top, causing indents to burn into the bottom of the oven plate and causing the oven plate to wobble. Just got new plates and they are already becoming damaged due to this issue. Submitted two tickets because this is an issue with both ovens.",Tray/Peg Issue,ST3467010
JOB COMPLETED @ 7PM ON 7/9/23. TECH FOUND THAT FILTER WASN'T MAKING CONTACT WITH THE AIR FILTER SWITCH. ADJUSTED FILTER SWITCH AND UNIT IS FULLY OPERATIONAL. SERIAL MATCHED.,Left hand oven closer to hand washing sink says the air filter has a error. Its correctly put in also.,Air Filter Error,ST7708006
"Left oven, constant, key press, unplugged, oven, plugged back in, calibrated, touchscreen, test, OK",Touch screen not detecting finger,Constant Key Press,ST71737003
"No issues with the oven. The customer hadn’t been cleaning the display when it was turned on the previous morning. Tech cleaned the display, reset the unit, tested all electrical compartments, and produced them multiple times. No issues were found in the oven. 

FCC.11:58am",Constant key press malfunction,Constant Key Press,ST65863003
"Constant key pressing. 
No issues with the oven. The customer hadn’t been cleaning the display when it was turned on the previous morning. Tech cleaned the display, reset the unit, tested all electrical compartments, and produced them multiple times. No issues were found in the oven. 

FCC.3:23pm",Warning display,Display Issue,ST65863006
"Completed 
Reset breaker and updated menu ran test on all 
2306214091515
1:00-2:00
#27327378

Dale Meeker
702-283-7739
",No power plug is connected it isnt the breaker cause we got two ovens same plug but only one is on,No Power,ST69589001
"Completed 
Main blower motor vibration at 100% tighten mounts
2406213091515
3:30-4:45
#27330400


Dale Meeker
702-283-7739
",The left oven makes a loud grinding noise when cooking items that require more heat or longer cook times.,Loud Noises,ST69589002
Tech arrived onsite to find the oven in operation the location stated they haven’t had the error come back. Location did not want the tech to service the oven as they were using it. Tech explained if the error comes back to let us know. Closing the call tech explained that the E104 means mags are overheating most likely caused by the air fins clogging most likely they need replacing. Closing the call as service was denied at this time.,Error code 104,104 Mag/Cavity Overheat Trip,ST52341033
"208v

Left oven 

8.00 amps each circuit 
17.00 amps mags combined 

10.00 heater amps 

Faults 
Constant key press 

Reset of unit and calibrated screen. 

Tested unit all functioning properly 

No issues present 

Menu current",Called service support but they were unavailable after 6?? Need this fixed asap,Constant Key Press,ST59539014
Arrived onsite and found oven working. Staff onsite said oven was just unplugged and they plugged it back in this morning.,No power,No Power,ST23310037
"Another company updated menu. 
Forgot to cancel our ticket","This oven has not updated and we are getting the green KCCM, we followed the instructions to turn off then back on but its not giving us the option to start the update.",Menu Issue,ST23310038
"Found both fuses blown. 
Still do not have proper 25amp fuses from manufacturer for new ovens.
Replaced with equivalent fuses.
Also adjusted the alignment of the door switches.
Oven currently operating properly.",Stuck on this screen and inoperable,Display Issue,ST23310040
"Constant key press was the issue.
Problem resolved before we arrived on site.
Oven is operating properly without error",Reading a button press when its not being pressed,Display Issue,ST23310041
Called store and spoke with SM Kellie and walked them through power cycling the unit to clear the constant keypress error.,Try to restart it didn't work,Constant Key Press,ST23310044
