Service Incident Summary,Keywords for n=1,Keywords for n=2,Keywords for n=3,Part Number,Part Description,Service Line Type
Fitted upgraded srb and tested/ recommissioned ok,"ok, recommissione, srb, test, upgrade","recommissione ok, srb test, test recommissione, upgrade srb","srb test recommissione, test recommissione ok, upgrade srb test",P30Z5048,CONTROL IO ASSY,Parts
Replaced IO board and updated,"board, update",board update,,P30Z5048,CONTROL IO ASSY,Parts
"Replaced iopcb as resistors burnt. Replaced ui bracket as old style. Updated firmware from 200 to 2.24. Updated menu to 24.
Also updated firmware on E2s, secured top panel and disconnected ht relays from srb as drawing too much mag current.","200, 224, 24, bracket, burn, current, disconnect, draw, firmware, iopcb, mag, menu, old, panel, relay, replace, resistor, secure, srb, style, ui, update","200 224, 224 menu, 24 update, bracket old, burn ui, disconnect relay, draw mag, firmware 200, firmware secure, iopcb resistor, mag current, menu 24, old style, panel disconnect, relay srb, replace iopcb, resistor burn, secure panel, srb draw, style update, ui bracket, update firmware","200 224 menu, 224 menu 24, 24 update firmware, bracket old style, burn ui bracket, disconnect relay srb, draw mag current, firmware 200 224, firmware secure panel, iopcb resistor burn, menu 24 update, old style update, panel disconnect relay, relay srb draw, replace iopcb resistor, resistor burn ui, secure panel disconnect, srb draw mag, style update firmware, ui bracket old, update firmware 200, update firmware secure",P30Z5048,CONTROL IO ASSY,Parts
"Replaced iopcb as resistors burnt. Replaced ui bracket as old style. Updated firmware from 200 to 2.24. Updated menu to 24.
Also updated firmware on E2s, secured top panel and disconnected ht relays from srb as drawing too much mag current.","200, 224, 24, bracket, burn, current, disconnect, draw, firmware, iopcb, mag, menu, old, panel, relay, replace, resistor, secure, srb, style, ui, update","200 224, 224 menu, 24 update, bracket old, burn ui, disconnect relay, draw mag, firmware 200, firmware secure, iopcb resistor, mag current, menu 24, old style, panel disconnect, relay srb, replace iopcb, resistor burn, secure panel, srb draw, style update, ui bracket, update firmware","200 224 menu, 224 menu 24, 24 update firmware, bracket old style, burn ui bracket, disconnect relay srb, draw mag current, firmware 200 224, firmware secure panel, iopcb resistor burn, menu 24 update, old style update, panel disconnect relay, relay srb draw, replace iopcb resistor, resistor burn ui, secure panel disconnect, srb draw mag, style update firmware, ui bracket old, update firmware 200, update firmware secure",PDY0079,X12 GLASS OVERLAY,Parts
E105 frequency error caused by blown SMD resistors on board. Replaced board and updated to latest firmware. Performed recommission test and ran to temp.,"blow, board, cause, e105, error, firmware, frequency, late, recommission, resistor, run, temp, test, update","blow resistor, board board, board update, cause blow, e105 frequency, error cause, firmware recommission, frequency error, late firmware, recommission test, resistor board, run temp, test run, update late","blow resistor board, board board update, board update late, cause blow resistor, e105 frequency error, error cause blow, firmware recommission test, frequency error cause, late firmware recommission, recommission test run, resistor board board, test run temp, update late firmware",P30Z5048,CONTROL IO ASSY,Parts
"Replaced faulty magnetrons
Reheated and tested with multiple cooks 
Tested all ok","cook, faulty, magnetron, multiple, ok, replace, test","cook test, faulty magnetron, magnetron test, multiple cook, replace faulty, test multiple, test ok","cook test ok, faulty magnetron test, magnetron test multiple, multiple cook test, replace faulty magnetron, test multiple cook",P30Z1415,TOSHIBA MAGNETRON 2M303H,Parts
WITHIN RESPONSE   REPLACED I/O BOARD AND UPDATED FIRMWARE V2.4.6B AND I/O 084  RECOMMISSIONED AND RUN UPTO TEMP ALL OK........ I/O BOARD UNDER WARRANTY REF JACK ......REST CHARGEABLE,"084, ok, update, v246b","084 ok, update v246b, v246b 084","update v246b 084, v246b 084 ok",P30Z5048,CONTROL IO ASSY,Parts
"E105 error on arrival, 101 resistors burnt out. Replaced with upgraded board. Recommission passed","arrival, board, burn, e101, e105, error, pass, resistor, upgrade","arrival e101, board pass, burn upgrade, e101 resistor, e105 error, error arrival, resistor burn, upgrade board","arrival e101 resistor, burn upgrade board, e101 resistor burn, e105 error arrival, error arrival e101, resistor burn upgrade, upgrade board pass",P30Z5048,CONTROL IO ASSY,Parts
"s/n 2306213091655 Connex X12.

Found machine to be showing an E105 error, and to also be operating on old version firmware.

Inspected the I/O board and found the resistors to be damaged, and so fitted a new I/O board, and updated the firmware to the latest version.

Carried out a PAT, recommission test and RF leak test. 

All now ok.","2306213091655, board, carry, damage, e105, error, firmware, fit, inspect, late, leak, machine, new, ok, old, operate, recommission, resistor, sn, test, update, version","2306213091655 machine, board resistor, board update, carry recommission, damage fit, e105 error, error operate, firmware inspect, firmware late, fit new, inspect board, late version, leak test, machine e105, new board, old version, operate old, recommission test, resistor damage, sn 2306213091655, test leak, test ok, update firmware, version carry, version firmware","2306213091655 machine e105, board resistor damage, board update firmware, carry recommission test, damage fit new, e105 error operate, error operate old, firmware inspect board, firmware late version, fit new board, inspect board resistor, late version carry, leak test ok, machine e105 error, new board update, old version firmware, operate old version, recommission test leak, resistor damage fit, sn 2306213091655 machine, test leak test, update firmware late, version carry recommission, version firmware inspect",P30Z5048,CONTROL IO ASSY,Parts
"E106 error in log, cavity temp 327, suspect caused by loom pressing against thermocouple connection. Repositioned loom, replaced thermocouple as a precaution. Updated firmware to v2.24.6b, recommission tested all ok
Unit has updated IO board","327, board, cause, cavity, connection, e106, error, firmware, log, loom, ok, precaution, press, recommission, replace, reposition, suspect, temp, test, thermocouple, update, v2246b","327 suspect, cause loom, cavity temp, connection reposition, e106 error, error log, firmware v2246b, log cavity, loom press, loom replace, ok update, precaution update, press thermocouple, recommission test, replace thermocouple, reposition loom, suspect cause, temp 327, test ok, thermocouple connection, thermocouple precaution, update board, update firmware, v2246b recommission","327 suspect cause, cause loom press, cavity temp 327, connection reposition loom, e106 error log, error log cavity, firmware v2246b recommission, log cavity temp, loom press thermocouple, loom replace thermocouple, ok update board, precaution update firmware, press thermocouple connection, recommission test ok, replace thermocouple precaution, reposition loom replace, suspect cause loom, temp 327 suspect, test ok update, thermocouple connection reposition, thermocouple precaution update, update firmware v2246b, v2246b recommission test",DR0243,THERMOCOUPLE K-700,Parts
Replaced io board due to E105. Tested ok. Cannot update firmware,"board, firmware, io, ok, replace, test, update","board test, io board, ok update, replace io, test ok, update firmware","board test ok, io board test, ok update firmware, replace io board, test ok update",P30Z5048,CONTROL IO ASSY,Parts
"Replaced screen holder, replaced SRB and updated","holder, replace, screen, update","holder replace, replace screen, replace update, screen holder","holder replace update, replace screen holder, screen holder replace",P30Z5048,CONTROL IO ASSY,Parts
"Replaced screen holder, replaced SRB and updated","holder, replace, screen, update","holder replace, replace screen, replace update, screen holder","holder replace update, replace screen holder, screen holder replace",PDY0079,X12 GLASS OVERLAY,Parts
Replaced board due to 101 resistor blown. Replaced glass overlay assembly to new mod,"assembly, blow, board, e101, glass, mod, new, overlay, resistor","assembly new, blow glass, board e101, e101 resistor, glass overlay, new mod, overlay assembly, resistor blow","assembly new mod, blow glass overlay, board e101 resistor, e101 resistor blow, glass overlay assembly, overlay assembly new, resistor blow glass",P30Z5048,CONTROL IO ASSY,Parts
Replaced board due to 101 resistor blown. Replaced glass overlay assembly to new mod,"assembly, blow, board, e101, glass, mod, new, overlay, resistor","assembly new, blow glass, board e101, e101 resistor, glass overlay, new mod, overlay assembly, resistor blow","assembly new mod, blow glass overlay, board e101 resistor, e101 resistor blow, glass overlay assembly, overlay assembly new, resistor blow glass",PDY0079,X12 GLASS OVERLAY,Parts
"Replaced I/O board due to e105 error on oven, also updated screen hardness whilst doing repair","board, e105, error, hardness, oven, repair, screen, update, whilst","board e105, e105 error, error oven, hardness whilst, oven update, screen hardness, update screen, whilst repair","board e105 error, e105 error oven, error oven update, hardness whilst repair, oven update screen, screen hardness whilst, update screen hardness",P30Z5048,CONTROL IO ASSY,Parts
"Machine no accepting update, replaced IO board and machine now accepted update. All tested okay","accept, board, machine, okay, replace, test, update","accept update, board machine, machine accept, replace board, test okay, update replace, update test","accept update replace, accept update test, board machine accept, machine accept update, replace board machine, update replace board, update test okay",P30Z5048,CONTROL IO ASSY,Parts
"Found thermocouple wire bent double at its plug with main loom sitting on top of it. Moved loom, replaced thermocouple and updated to latest firmware. Performed recommission test and ran to temp. Tested all ok.","bent, double, firmware, late, loom, main, ok, plug, recommission, replace, run, sit, temp, test, thermocouple, update, wire","bent double, double plug, firmware recommission, late firmware, loom replace, loom sit, main loom, plug main, recommission test, replace thermocouple, run temp, sit loom, temp test, test ok, test run, thermocouple update, thermocouple wire, update late, wire bent","bent double plug, double plug main, firmware recommission test, late firmware recommission, loom replace thermocouple, loom sit loom, main loom sit, plug main loom, recommission test run, replace thermocouple update, run temp test, sit loom replace, temp test ok, test run temp, thermocouple update late, thermocouple wire bent, update late firmware, wire bent double",DR0243,THERMOCOUPLE K-700,Parts
"E015 error showing due to convection fan not kicking in, faulty connection on IO board, replaced IO board and convection fan now working.  Recommission test and passed.","board, connection, convection, e015, error, fan, faulty, kick, pass, replace, test, work","board convection, board replace, connection board, convection fan, e015 error, error convection, fan kick, fan work, faulty connection, kick faulty, replace board, test pass, work test","board convection fan, board replace board, connection board replace, convection fan kick, convection fan work, e015 error convection, error convection fan, fan kick faulty, fan work test, faulty connection board, kick faulty connection, replace board convection, work test pass",P30Z5048,CONTROL IO ASSY,Parts
"E015 error showing due to convection fan not kicking in, faulty connection on IO board, replaced IO board and convection fan now working.  Recommission test and passed.","board, connection, convection, e015, error, fan, faulty, kick, pass, replace, test, work","board convection, board replace, connection board, convection fan, e015 error, error convection, fan kick, fan work, faulty connection, kick faulty, replace board, test pass, work test","board convection fan, board replace board, connection board replace, convection fan kick, convection fan work, e015 error convection, error convection fan, fan kick faulty, fan work test, faulty connection board, kick faulty connection, replace board convection, work test pass",PDY0079,X12 GLASS OVERLAY,Parts
Fitted upgraded srb and tested ok,"ok, srb, test, upgrade","srb test, test ok, upgrade srb","srb test ok, upgrade srb test",P30Z5048,CONTROL IO ASSY,Parts
Replaced I O board and tested,"board, test",board test,,P30Z5048,CONTROL IO ASSY,Parts
Replaced thermocouple and ran commission test latest firmware on unit,"commission, firmware, late, replace, run, test, thermocouple, unit","commission test, firmware unit, late firmware, replace thermocouple, run commission, test late, thermocouple run","commission test late, late firmware unit, replace thermocouple run, run commission test, test late firmware, thermocouple run commission",DR0243,THERMOCOUPLE K-700,Parts
"Replaced burnt IO board 
Reheated and tested with multiple cooks 
Tested all ok","board, burn, cook, multiple, ok, test","board test, burn board, cook test, multiple cook, test multiple, test ok","board test multiple, burn board test, cook test ok, multiple cook test, test multiple cook",P30Z5048,CONTROL IO ASSY,Parts
SITE REPORTING SCREEN GOING TO FALL OUT REPLACED WITH GLASS OVERLAY WITH BRACKET AND UPDATED TO V2.24.6B TESTED OK SERIAL NO 2304213091191 ALSO UPDATED OTHER CONNEX OVEN ON SITE TESTED OK,"2304213091191, fall, ok, overlay, reporting, site, test, update","2304213091191 update, fall overlay, ok 2304213091191, overlay update, reporting fall, site reporting, test ok, update test","2304213091191 update test, fall overlay update, ok 2304213091191 update, overlay update test, reporting fall overlay, site reporting fall, test ok 2304213091191, update test ok",PDY0079,X12 GLASS OVERLAY,Parts
ERROR E105 REPLACED IO BOARD AND UPDATED FIRMWARE V2.24.6B RUN TO TEMP TESTED OK,"e105, temp, test, update","e105 update, temp test, update temp","e105 update temp, update temp test",P30Z5048,CONTROL IO ASSY,Parts
Oven gets ‘touchscreen has experienced a problem’ message after a clean. Not observed. Not on log. No cause found. Replaced ui.,"clean, experienced, log, message, observed, problem, touchscreen, ui","clean observed, experienced problem, log ui, message clean, observed log, problem message, touchscreen experienced","clean observed log, experienced problem message, message clean observed, observed log ui, problem message clean, touchscreen experienced problem",P30Z5048,CONTROL IO ASSY,Parts
Serial 2302213090288. Error 105. Replaced iopcb. Updated firmware from 202 to 2.24.,"202, 224, 2302213090288, e105, firmware, iopcb, serial, update","202 224, 2302213090288 e105, e105 iopcb, firmware 202, iopcb update, serial 2302213090288, update firmware","2302213090288 e105 iopcb, e105 iopcb update, firmware 202 224, iopcb update firmware, serial 2302213090288 e105, update firmware 202",P30Z5048,CONTROL IO ASSY,Parts
REPLACED PLUG AS RED HOT SUSPECT CAUSING ISSUES,,,,934010-01,13 Amp UK Plug,Parts
"REPLACED SRB AS BLOWN
RAN TO TEMP TESTED OK","ran, temp, test","ran temp, temp test",ran temp test,P30Z5048,CONTROL IO ASSY,Parts
"E105 error, replaced IO board due to burnt 100R also updated firmware from 2.02 to 2.24.6 re-commission test passed emissions passed","202, 2246, board, burn, e105, emission, error, firmware, pass, recommission, replace, test, update","202 2246, 2246 recommission, board burn, burn update, e105 error, emission pass, error replace, firmware 202, pass emission, recommission test, replace board, test pass, update firmware","202 2246 recommission, 2246 recommission test, board burn update, burn update firmware, e105 error replace, error replace board, firmware 202 2246, pass emission pass, recommission test pass, replace board burn, test pass emission, update firmware 202",P30Z5048,CONTROL IO ASSY,Parts
"Intermittent magnetron error, both mags good. Replaced IO board and updated firmware to v2.24.6b tested ok","board, error, firmware, good, intermittent, mag, magnetron, ok, test, update, v2246b","board update, error mag, firmware v2246b, good board, intermittent magnetron, mag good, magnetron error, test ok, update firmware, v2246b test","board update firmware, error mag good, firmware v2246b test, good board update, intermittent magnetron error, mag good board, magnetron error mag, update firmware v2246b, v2246b test ok",P30Z5048,CONTROL IO ASSY,Parts
WITHIN 4HR RESPONSE REPLACED I/O BOARD DUE TO E105 UPDATES FIRMWARE  RECOMISSIONED  AND RUN UPTO TEMP ALL GOOD,"4hr, e105, good, temp, update","4hr e105, e105 update, temp good, update temp","4hr e105 update, e105 update temp, update temp good",P30Z5048,CONTROL IO ASSY,Parts
"Replaced thermocouple due to random failures ELREHA board has previously been upgraded.
Carried out recommission test fully tested ok","board, carry, failure, fully, ok, previously, random, recommission, replace, test, thermocouple, upgrade","board previously, carry recommission, failure board, fully test, previously upgrade, random failure, recommission test, replace thermocouple, test fully, test ok, thermocouple random, upgrade carry","board previously upgrade, carry recommission test, failure board previously, fully test ok, previously upgrade carry, random failure board, recommission test fully, replace thermocouple random, test fully test, thermocouple random failure, upgrade carry recommission",DR0243,THERMOCOUPLE K-700,Parts
"Update firmware from 1.5 to 2.02 then updated from 2.02 to 2.24
Pre-heated oven machine fully working","15, 202, 224, firmware, fully, machine, oven, preheat, update, work","15 202, 202 224, 202 update, 224 preheat, firmware 15, fully work, machine fully, oven machine, preheat oven, update 202, update firmware","15 202 update, 202 224 preheat, 202 update 202, 224 preheat oven, firmware 15 202, machine fully work, oven machine fully, preheat oven machine, update 202 224, update firmware 15",P30Z5048,CONTROL IO ASSY,Parts
"Serial 2202213092675 updated firmware from 202 to 2.24. Updated menu to Jan 24. Updated screen bracket. 
Serial 2202213092731 updated firmware from 202 to 2.24. Updated menu to Jan 24. screen bracket is already new style.","202, 2202213092675, 2202213092731, 224, 24, bracket, firmware, menu, new, screen, serial, style, update","202 224, 2202213092675 update, 2202213092731 update, 224 menu, 24 screen, bracket 2202213092731, bracket new, firmware 202, menu 24, new style, screen bracket, serial 2202213092675, update firmware","202 224 menu, 2202213092675 update firmware, 2202213092731 update firmware, 224 menu 24, 24 screen bracket, bracket 2202213092731 update, bracket new style, firmware 202 224, menu 24 screen, screen bracket 2202213092731, screen bracket new, serial 2202213092675 update, update firmware 202",PDY0079,X12 GLASS OVERLAY,Parts
Replaced iopcb. Updated firmware from 201 to 2.24.,"201, 224, firmware, iopcb, replace, update","201 224, firmware 201, iopcb update, replace iopcb, update firmware","firmware 201 224, iopcb update firmware, replace iopcb update, update firmware 201",P30Z5048,CONTROL IO ASSY,Parts
"Found multiple cavity sensor/overheat errors in log. Replaced thermocouple and moved main loom away from connection. Updated to latest firmware. Performed recommission test, tested all ok.","away, cavity, connection, error, firmware, late, log, loom, main, multiple, ok, recommission, sensoroverheat, test, thermocouple, update","away connection, cavity sensoroverheat, connection update, error log, firmware recommission, late firmware, log thermocouple, loom away, main loom, multiple cavity, recommission test, sensoroverheat error, test ok, test test, thermocouple main, update late","away connection update, cavity sensoroverheat error, connection update late, error log thermocouple, firmware recommission test, late firmware recommission, log thermocouple main, loom away connection, main loom away, multiple cavity sensoroverheat, recommission test test, sensoroverheat error log, test test ok, thermocouple main loom, update late firmware",DR0243,THERMOCOUPLE K-700,Parts
Replaced control board and tested ok,"board, control, ok, replace, test","board test, control board, replace control, test ok","board test ok, control board test, replace control board",P30Z5048,CONTROL IO ASSY,Parts
"Replaced air filter m/switch due to snapped lead and un-responsive 
Machine in full working order","air, filter, lead, mswitch, order, replace, snap, unresponsive, working","air filter, filter mswitch, lead unresponsive, mswitch snap, replace air, snap lead, unresponsive working, working order","air filter mswitch, filter mswitch snap, lead unresponsive working, mswitch snap lead, replace air filter, snap lead unresponsive, unresponsive working order",30Z1626,AIR FILTER LONG M/SWITCH,Parts
Serial 2304213090391. Replaced io-pcb with new-style one.,"2304213090391, iopcb, newstyle, replace, serial","2304213090391 replace, iopcb newstyle, replace iopcb, serial 2304213090391","2304213090391 replace iopcb, replace iopcb newstyle, serial 2304213090391 replace",P30Z5048,CONTROL IO ASSY,Parts
"1st FSR e105 error, replaced IO board and updated firmware from 2.0 to 2.24.6
Re-commission test passed emissions passed 
2nd FSR ser no 2304213090377
Replaced old IO board, glass overlay assy and updated firmware from 2.0 to 2.24.6
Re-commission test passed 
Warranty call","1st, 20, 2246, 2304213090377, 2nd, assy, board, e105, emission, error, firmware, glass, old, overlay, pass, replace, ser, test, update","1st e105, 20 2246, 2246 test, 2304213090377 replace, 2nd ser, assy update, board glass, board update, e105 error, emission pass, error replace, firmware 20, glass overlay, old board, overlay assy, pass 2nd, pass emission, replace board, replace old, ser 2304213090377, test pass, update firmware","1st e105 error, 20 2246 test, 2246 test pass, 2304213090377 replace old, 2nd ser 2304213090377, assy update firmware, board glass overlay, board update firmware, e105 error replace, emission pass 2nd, error replace board, firmware 20 2246, glass overlay assy, old board glass, overlay assy update, pass 2nd ser, pass emission pass, replace board update, replace old board, ser 2304213090377 replace, test pass emission, update firmware 20",P30Z5048,CONTROL IO ASSY,Parts
"1st FSR e105 error, replaced IO board and updated firmware from 2.0 to 2.24.6
Re-commission test passed emissions passed 
2nd FSR ser no 2304213090377
Replaced old IO board, glass overlay assy and updated firmware from 2.0 to 2.24.6
Re-commission test passed 
Warranty call","1st, 20, 2246, 2304213090377, 2nd, assy, board, e105, emission, error, firmware, glass, old, overlay, pass, replace, ser, test, update","1st e105, 20 2246, 2246 test, 2304213090377 replace, 2nd ser, assy update, board glass, board update, e105 error, emission pass, error replace, firmware 20, glass overlay, old board, overlay assy, pass 2nd, pass emission, replace board, replace old, ser 2304213090377, test pass, update firmware","1st e105 error, 20 2246 test, 2246 test pass, 2304213090377 replace old, 2nd ser 2304213090377, assy update firmware, board glass overlay, board update firmware, e105 error replace, emission pass 2nd, error replace board, firmware 20 2246, glass overlay assy, old board glass, overlay assy update, pass 2nd ser, pass emission pass, replace board update, replace old board, ser 2304213090377 replace, test pass emission, update firmware 20",PDY0079,X12 GLASS OVERLAY,Parts
Replaced main board and glass overlay assembly. All six oven have been updated to latest firmware. Ovens tested ok,"assembly, board, firmware, glass, late, main, ok, oven, overlay, replace, test, update","assembly oven, board glass, firmware test, glass overlay, late firmware, main board, oven update, overlay assembly, replace main, test ok, update late","assembly oven update, board glass overlay, firmware test ok, glass overlay assembly, late firmware test, main board glass, oven update late, overlay assembly oven, replace main board, update late firmware",P30Z5048,CONTROL IO ASSY,Parts
Replaced main board and glass overlay assembly. All six oven have been updated to latest firmware. Ovens tested ok,"assembly, board, firmware, glass, late, main, ok, oven, overlay, replace, test, update","assembly oven, board glass, firmware test, glass overlay, late firmware, main board, oven update, overlay assembly, replace main, test ok, update late","assembly oven update, board glass overlay, firmware test ok, glass overlay assembly, late firmware test, main board glass, oven update late, overlay assembly oven, replace main board, update late firmware",PDY0079,X12 GLASS OVERLAY,Parts
"Error e111 occurring intermittently, replaced thermocouple and rerouted cable to IO board. Loaded B latest version of firmware on to oven. Emissions checked tested and ok, connected to kitchen connect on completion","board, cable, check, completion, connect, connected, e111, error, firmware, intermittently, kitchen, late, occurring, ok, oven, replace, reroute, test, thermocouple, version","board late, cable board, check test, connect completion, connected kitchen, e111 occurring, error e111, firmware oven, intermittently replace, kitchen connect, late version, occurring intermittently, ok connected, oven check, replace thermocouple, reroute cable, test ok, thermocouple reroute, version firmware","board late version, cable board late, check test ok, connected kitchen connect, e111 occurring intermittently, error e111 occurring, firmware oven check, intermittently replace thermocouple, kitchen connect completion, late version firmware, occurring intermittently replace, ok connected kitchen, oven check test, replace thermocouple reroute, reroute cable board, test ok connected, thermocouple reroute cable, version firmware oven",DR0243,THERMOCOUPLE K-700,Parts
Error e111 showing intermittently. Replaced thermocouple and rerouted cable to IO board. Loaded latest version of firmware 2.24.6b on to connex X12 serial number 2302213091873. Oven connected to kitchen connect on completion,"2246b, 2302213091873, board, cable, completion, connect, connected, connex, e111, error, firmware, intermittently, kitchen, late, load, number, replace, reroute, serial, thermocouple, version","2246b connex, 2302213091873 connected, board load, cable board, connect completion, connected kitchen, connex serial, e111 intermittently, error e111, firmware 2246b, intermittently replace, kitchen connect, late version, load late, number 2302213091873, replace thermocouple, reroute cable, serial number, thermocouple reroute, version firmware","2246b connex serial, 2302213091873 connected kitchen, board load late, cable board load, connected kitchen connect, connex serial number, e111 intermittently replace, error e111 intermittently, firmware 2246b connex, intermittently replace thermocouple, kitchen connect completion, late version firmware, load late version, number 2302213091873 connected, replace thermocouple reroute, reroute cable board, serial number 2302213091873, thermocouple reroute cable, version firmware 2246b",DR0243,THERMOCOUPLE K-700,Parts
Replaced faulty board and updated firmware to latest version,"board, faulty, firmware, late, replace, update, version","board update, faulty board, firmware late, late version, replace faulty, update firmware","board update firmware, faulty board update, firmware late version, replace faulty board, update firmware late",P30Z5048,CONTROL IO ASSY,Parts
E105 error on arrival. Replaced IO board and unit working fine. Recommission passed and heated up on site,"arrival, board, e105, error, fine, heated, pass, site, unit, work","arrival board, board unit, e105 error, error arrival, fine pass, heated site, pass heated, unit work, work fine","arrival board unit, board unit work, e105 error arrival, error arrival board, fine pass heated, pass heated site, unit work fine, work fine pass",P30Z5048,CONTROL IO ASSY,Parts
ERROR E111 CAVITY SENSOR FAILED REPLACED THERMOCOUPLE AND FITTED SOME HEAT TAPE OVER THE INSULATION AND CABLE TIED WIRING LOOM AWAY FROM THERMOCOUPLE CONNECTOR RUN TEMPERATURE CONTROL TEST 30 MINUTES TESTED OK FIRMWARE ALREADY ON V2.24.6B COOLED DOWN OVEN AFTER DUE TO FIXING OVEN IN STORE ROOM SITE WILL PUT BACK IN PLACE WHEN NOT SO BUSY SERIAL NO 2302213090276,"2302213090276, away, cable, cool, fail, firmware, fix, minute, ok, sensor, serial, site, test, tie, v2246b","away minute, cable tie, cool fix, fail cable, firmware v2246b, fix site, minute test, ok firmware, sensor fail, serial 2302213090276, site serial, test ok, tie away, v2246b cool","away minute test, cable tie away, cool fix site, fail cable tie, firmware v2246b cool, fix site serial, minute test ok, ok firmware v2246b, sensor fail cable, site serial 2302213090276, test ok firmware, tie away minute, v2246b cool fix",DR0243,THERMOCOUPLE K-700,Parts
"E105 resistors on IO failed. Fitted upgraded IO board, upgraded screen overlay, updated firmware from v2.01 to v2.24.6b. Recommission tested and ran to temp","board, e105, fail, firmware, overlay, resistor, run, screen, temp, test, update, upgrade, v201, v2246b","board upgrade, e105 resistor, fail upgrade, firmware v201, overlay update, resistor fail, run temp, screen overlay, test run, update firmware, upgrade board, upgrade screen, v201 v2246b, v2246b test","board upgrade screen, e105 resistor fail, fail upgrade board, firmware v201 v2246b, overlay update firmware, resistor fail upgrade, screen overlay update, test run temp, update firmware v201, upgrade board upgrade, upgrade screen overlay, v201 v2246b test, v2246b test run",P30Z5048,CONTROL IO ASSY,Parts
"E105 resistors on IO failed. Fitted upgraded IO board, upgraded screen overlay, updated firmware from v2.01 to v2.24.6b. Recommission tested and ran to temp","board, e105, fail, firmware, overlay, resistor, run, screen, temp, test, update, upgrade, v201, v2246b","board upgrade, e105 resistor, fail upgrade, firmware v201, overlay update, resistor fail, run temp, screen overlay, test run, update firmware, upgrade board, upgrade screen, v201 v2246b, v2246b test","board upgrade screen, e105 resistor fail, fail upgrade board, firmware v201 v2246b, overlay update firmware, resistor fail upgrade, screen overlay update, test run temp, update firmware v201, upgrade board upgrade, upgrade screen overlay, v201 v2246b test, v2246b test run",PDY0079,X12 GLASS OVERLAY,Parts
"E105 error on arrival, replaced IO board and updated to latest firmeware","arrival, board, e105, error, firmeware, late, replace, update","arrival replace, board update, e105 error, error arrival, late firmeware, replace board, update late","arrival replace board, board update late, e105 error arrival, error arrival replace, replace board update, update late firmeware",P30Z5048,CONTROL IO ASSY,Parts
Overheat stat on oven had released and found in history that this has been happening every day for a week or so and maintenance person on site has been resetting the stat. Replaced cavity overheat stat run and tested machine and all working fine.,"cavity, day, fine, happen, history, machine, maintenance, oven, overheat, person, release, reset, run, site, stat, test, week, work","cavity overheat, day week, happen day, history happen, machine work, maintenance person, oven release, overheat stat, person site, release history, reset stat, run test, site reset, stat cavity, stat oven, stat run, test machine, week maintenance, work fine","cavity overheat stat, day week maintenance, happen day week, history happen day, machine work fine, maintenance person site, oven release history, overheat stat oven, overheat stat run, person site reset, release history happen, reset stat cavity, run test machine, site reset stat, stat cavity overheat, stat oven release, stat run test, test machine work, week maintenance person",30Z1589,CAVITY OVERHEAT STAT,Parts
"Constant cavity sensor error out of the box due to thermocouple wires being bent double at plug end and loom resting on plug. Replaced thermocouple, replaced IO due to old type resistors and updated to latest firmware. Performed recommission test and ran to temp.","bent, box, cavity, constant, double, end, error, firmware, late, loom, old, plug, recommission, replace, resistor, resting, run, sensor, temp, test, thermocouple, type, update, wire","bent double, box thermocouple, cavity sensor, constant cavity, double plug, end loom, error box, firmware recommission, late firmware, loom resting, old type, plug end, plug thermocouple, recommission test, replace old, resistor update, resting plug, run temp, sensor error, test run, thermocouple replace, thermocouple wire, type resistor, update late, wire bent","bent double plug, box thermocouple wire, cavity sensor error, constant cavity sensor, double plug end, end loom resting, error box thermocouple, firmware recommission test, late firmware recommission, loom resting plug, old type resistor, plug end loom, plug thermocouple replace, recommission test run, replace old type, resistor update late, resting plug thermocouple, sensor error box, test run temp, thermocouple replace old, thermocouple wire bent, type resistor update, update late firmware, wire bent double",P30Z5048,CONTROL IO ASSY,Parts
"Constant cavity sensor error out of the box due to thermocouple wires being bent double at plug end and loom resting on plug. Replaced thermocouple, replaced IO due to old type resistors and updated to latest firmware. Performed recommission test and ran to temp.","bent, box, cavity, constant, double, end, error, firmware, late, loom, old, plug, recommission, replace, resistor, resting, run, sensor, temp, test, thermocouple, type, update, wire","bent double, box thermocouple, cavity sensor, constant cavity, double plug, end loom, error box, firmware recommission, late firmware, loom resting, old type, plug end, plug thermocouple, recommission test, replace old, resistor update, resting plug, run temp, sensor error, test run, thermocouple replace, thermocouple wire, type resistor, update late, wire bent","bent double plug, box thermocouple wire, cavity sensor error, constant cavity sensor, double plug end, end loom resting, error box thermocouple, firmware recommission test, late firmware recommission, loom resting plug, old type resistor, plug end loom, plug thermocouple replace, recommission test run, replace old type, resistor update late, resting plug thermocouple, sensor error box, test run temp, thermocouple replace old, thermocouple wire bent, type resistor update, update late firmware, wire bent double",DR0243,THERMOCOUPLE K-700,Parts
WITHIN RESPONSE  E111 CAVITY SENSOR READING 328'C INTERMITTENTLY  REPLACED CAVITY SENSOR  AND UPDATED FIRMWARE TO 2.24.6b  SET DATE  RECOMMISSIONED AND RUN UPTO TEMP  NOT CORRECT MENU ON OVEN SO SITE HAVING TO INPUT ITEMS MANUALLY SITE AWARE MANAGER TO GET MENU,"2246b, cavity, date, items, read, sensor, site, update","2246b date, cavity sensor, date site, items site, read update, sensor read, site items, update 2246b","2246b date site, cavity sensor read, date site items, read update 2246b, sensor read update, site items site, update 2246b date",DR0243,THERMOCOUPLE K-700,Parts
